0, 1
0, 2
0, 3
0, 45
1, 0
2, 0
3, 0
3, 4
3, 5
4, 3
5, 3
5, 6
5, 10
6, 5
6, 7
7, 6
7, 8
7, 19
8, 7
8, 9
9, 8
9, 10
9, 11
10, 5
10, 9
11, 9
11, 12
11, 18
12, 11
12, 13
13, 12
13, 14
14, 13
14, 15
15, 14
15, 16
15, 17
16, 15
17, 15
18, 11
19, 7
19, 20
19, 21
20, 19
21, 19
21, 22
22, 21
22, 23
22, 36
23, 22
23, 24
23, 25
24, 23
25, 23
25, 26
26, 25
26, 27
27, 26
27, 28
28, 27
28, 29
28, 35
29, 28
29, 30
30, 29
30, 31
30, 33
31, 30
31, 32
32, 31
33, 30
33, 34
34, 33
34, 35
35, 28
35, 34
36, 22
36, 37
37, 36
37, 38
37, 44
38, 37
38, 39
39, 38
39, 40
39, 41
40, 39
41, 39
41, 42
42, 41
42, 43
42, 44
43, 42
44, 37
44, 42
45, 0
